QuestionID,Aspect,Question,Choices
1,"In choosing an ideal job, how important would it be to <OBJECT> to:","have sufficient time for <POSSESSIVE> personal or home life","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
2,"In choosing an ideal job, how important would it be to <OBJECT> to:","have a boss (direct superior) <SUBJECT> can respect","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
3,"In choosing an ideal job, how important would it be to <OBJECT> to:","get recognition for good performance","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
4,"In choosing an ideal job, how important would it be to <OBJECT> to:","have security of employment","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
5,"In choosing an ideal job, how important would it be to <OBJECT> to:","have pleasant people to work with","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
6,"In choosing an ideal job, how important would it be to <OBJECT> to:","do work that is interesting","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
7,"In choosing an ideal job, how important would it be to <OBJECT> to:","be consulted by <POSSESSIVE> boss in decisions involving your work","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
8,"In choosing an ideal job, how important would it be to <OBJECT> to:","live in a desirable area","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
9,"In choosing an ideal job, how important would it be to <OBJECT> to:","have a job respected by <POSSESSIVE> family and friends","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
10,"In choosing an ideal job, how important would it be to <OBJECT> to:","have chances for promotion in <POSSESSIVE> private life","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
11,"In <POSSESSIVE> private life, how important is each of the following to <OBJECT>:","keeping time free for fun","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
12,"In <POSSESSIVE> private life, how important is each of the following to <OBJECT>:","moderation: having few desires","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
13,"In <POSSESSIVE> private life, how important is each of the following to <OBJECT>:","doing a service to a friend","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
14,"In <POSSESSIVE> private life, how important is each of the following to <OBJECT>:","thrift (not spending more than needed)","1 = of utmost importance, 2 = very important, 3 = of moderate importance, 4 = of little importance, 5 = of very little or no important"
15,"In <POSSESSIVE> private life,","how often do <SUBJECT> feel nervous or tense","1 = always, 2 = usually 3 = sometimes 4 = seldom, 5 = never"
16,"In <POSSESSIVE> private life,","how often are <SUBJECT> happy","1 = always, 2 = usually, 3 = sometimes, 4 = seldom, 5 = never"
17,"In <POSSESSIVE> private life,","do other people or circumstances ever prevent <SUBJECT> from doing what <SUBJECT> really want to","1 = always, 2 = usually, 3 = sometimes, 4 = seldom, 5 = never"
18,"In <POSSESSIVE> private life,","all in all, how would <SUBJECT> describe <POSSESSIVE> state of health these days","1 = very good, 2 = good, 3 = fair, 4 = poor, 5 = very poor"
19,"In <POSSESSIVE> private life,","how proud are <SUBJECT> to be from <POSSESSIVE> nationality","1 = very proud, 2 = fairly proud, 3 = somewhat proud, 4 = not very proud, 5 = not proud at all"
20,"In <POSSESSIVE> private life,","how often are subordinates afraid to contradict their boss (or students their teacher)","1 = never, 2 = seldom, 3 = sometimes, 4 = usually, 5 = always"
21,"To what extent do <SUBJECT> agree or disagree with each of the following statements:","one can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work","1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
22,"To what extent do <SUBJECT> agree or disagree with each of the following statements:","persistent efforts are the surest way to results","1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
23,"To what extent do <SUBJECT> agree or disagree with each of the following statements:","an organization structure in which certain subordinates have two bosses should be avoided at all cost","1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
24,"To what extent do <SUBJECT> agree or disagree with each of the following statements:","a company's or organization's rules should not be broken - not even when the employee thinks breaking the rule would be in the organization's best interest","1 = strongly agree, 2 = agree, 3 = undecided, 4 = disagree, 5 = strongly disagree"
