question_id,answer,mean,std
1,"[1, 1, 1]",1.0,0.0
2,"[1, 1, 1]",1.0,0.0
3,"[2, 1, 1]",1.3333333333333333,0.5773502691896257
4,"[1, 1, 1]",1.0,0.0
5,"[2, 2, 1]",1.6666666666666667,0.5773502691896257
6,"[1, 1, 1]",1.0,0.0
7,"[2, 2, 1]",1.6666666666666667,0.5773502691896257
8,"[2, 2, 2]",2.0,0.0
9,"[2, 2, 2]",2.0,0.0
10,"[2, 2, 2]",2.0,0.0
11,"[2, 2, 2]",2.0,0.0
12,"[2, 2, 2]",2.0,0.0
13,"[2, 2, 1]",1.6666666666666667,0.5773502691896257
14,"[1, 1, 1]",1.0,0.0
15,"[3, 3, 3]",3.0,0.0
16,"[2, 3, 3]",2.6666666666666665,0.5773502691896258
17,"[3, 3, 3]",3.0,0.0
18,"[2, 2, 2]",2.0,0.0
19,"[1, 1, 1]",1.0,0.0
20,"[4, 4, 4]",4.0,0.0
21,"[2, 2, 2]",2.0,0.0
22,"[1, 1, 1]",1.0,0.0
23,"[3, 3, 3]",3.0,0.0
24,"[2, 2, 2]",2.0,0.0
