question_id,answer,mean,std
1,"[2, 2, 2]",2.0,0.0
2,"[2, 2, 2]",2.0,0.0
3,"[2, 2, 2]",2.0,0.0
4,"[1, 1, 1]",1.0,0.0
5,"[2, 2, 2]",2.0,0.0
6,"[2, 2, 2]",2.0,0.0
7,"[2, 2, 2]",2.0,0.0
8,"[2, 2, 2]",2.0,0.0
9,"[2, 2, 2]",2.0,0.0
10,"[5, 5, 5]",5.0,0.0
11,"[3, 3, 3]",3.0,0.0
12,"[2, 2, 2]",2.0,0.0
13,"[2, 2, 2]",2.0,0.0
14,"[2, 2, 2]",2.0,0.0
15,"[3, 3, 3]",3.0,0.0
16,"[3, 3, 3]",3.0,0.0
17,"[3, 3, 3]",3.0,0.0
18,"[2, 2, 3]",2.3333333333333335,0.5773502691896258
19,"[1, 1, 1]",1.0,0.0
20,"[3, 3, 4]",3.3333333333333335,0.5773502691896258
21,"[2, 2, 2]",2.0,0.0
22,"[1, 1, 2]",1.3333333333333333,0.5773502691896257
23,"[2, 2, 1]",1.6666666666666667,0.5773502691896257
24,"[2, 2, 2]",2.0,0.0
