question_id,answer,mean,std
1,"[1, 1, 1]",1.0,0.0
2,"[2, 2, 2]",2.0,0.0
3,"[2, 2, 2]",2.0,0.0
4,"[2, 2, 2]",2.0,0.0
5,"[2, 2, 2]",2.0,0.0
6,"[2, 2, 2]",2.0,0.0
7,"[2, 2, 2]",2.0,0.0
8,"[3, 3, 3]",3.0,0.0
9,"[3, 3, 3]",3.0,0.0
10,"[5, 5, 5]",5.0,0.0
11,"[2, 2, 2]",2.0,0.0
12,"[3, 3, 3]",3.0,0.0
13,"[2, 2, 2]",2.0,0.0
14,"[3, 3, 3]",3.0,0.0
15,"[3, 3, 3]",3.0,0.0
16,"[3, 3, 3]",3.0,0.0
17,"[3, 3, 3]",3.0,0.0
18,"[2, 2, 2]",2.0,0.0
19,"[3, 3, 3]",3.0,0.0
20,"[3, 3, 3]",3.0,0.0
21,"[1, 2, 1]",1.3333333333333333,0.5773502691896257
22,"[2, 2, 2]",2.0,0.0
23,"[2, 2, 2]",2.0,0.0
24,"[4, 2, 2]",2.6666666666666665,1.1547005383792515
