question_id,answer,mean,std
1,"[1, 1, 1]",1.0,0.0
2,"[2, 2, 2]",2.0,0.0
3,"[2, 2, 2]",2.0,0.0
4,"[2, 2, 2]",2.0,0.0
5,"[2, 2, 2]",2.0,0.0
6,"[1, 1, 1]",1.0,0.0
7,"[2, 2, 2]",2.0,0.0
8,"[3, 2, 3]",2.6666666666666665,0.5773502691896258
9,"[3, 3, 3]",3.0,0.0
10,"[5, 5, 4]",4.666666666666667,0.5773502691896258
11,"[2, 2, 1]",1.6666666666666667,0.5773502691896257
12,"[4, 4, 4]",4.0,0.0
13,"[2, 2, 2]",2.0,0.0
14,"[3, 3, 3]",3.0,0.0
15,"[3, 3, 3]",3.0,0.0
16,"[3, 3, 3]",3.0,0.0
17,"[3, 3, 3]",3.0,0.0
18,"[2, 2, 2]",2.0,0.0
19,"[1, 1, 1]",1.0,0.0
20,"[3, 3, 3]",3.0,0.0
21,"[2, 2, 2]",2.0,0.0
22,"[1, 1, 1]",1.0,0.0
23,"[3, 3, 3]",3.0,0.0
24,"[3, 3, 3]",3.0,0.0
