question_id,answer,mean,std
1,"[1, 1, 1]",1.0,0.0
2,"[2, 2, 2]",2.0,0.0
3,"[2, 2, 2]",2.0,0.0
4,"[1, 1, 1]",1.0,0.0
5,"[2, 2, 2]",2.0,0.0
6,"[2, 2, 2]",2.0,0.0
7,"[3, 3, 3]",3.0,0.0
8,"[3, 3, 3]",3.0,0.0
9,"[2, 2, 2]",2.0,0.0
10,"[2, 2, 2]",2.0,0.0
11,"[1, 1, 1]",1.0,0.0
12,"[3, 3, 3]",3.0,0.0
13,"[2, 2, 2]",2.0,0.0
14,"[2, 2, 2]",2.0,0.0
15,"[3, 3, 3]",3.0,0.0
16,"[3, 3, 3]",3.0,0.0
17,"[3, 3, 3]",3.0,0.0
18,"[2, 2, 2]",2.0,0.0
19,"[2, 2, 2]",2.0,0.0
20,"[3, 3, 3]",3.0,0.0
21,"[2, 3, 2]",2.3333333333333335,0.5773502691896258
22,"[1, 1, 1]",1.0,0.0
23,"[2, 2, 2]",2.0,0.0
24,"[2, 2, 2]",2.0,0.0
