question_id,answer,mean,std
1,"[2, 2, 2]",2.0,0.0
2,"[2, 2, 2]",2.0,0.0
3,"[2, 2, 2]",2.0,0.0
4,"[1, 1, 1]",1.0,0.0
5,"[2, 2, 2]",2.0,0.0
6,"[2, 2, 2]",2.0,0.0
7,"[3, 3, 3]",3.0,0.0
8,"[3, 3, 2]",2.6666666666666665,0.5773502691896258
9,"[2, 2, 2]",2.0,0.0
10,"[2, 2, 2]",2.0,0.0
11,"[2, 2, 2]",2.0,0.0
12,"[3, 3, 3]",3.0,0.0
13,"[2, 2, 2]",2.0,0.0
14,"[2, 2, 2]",2.0,0.0
15,"[3, 3, 3]",3.0,0.0
16,"[3, 3, 3]",3.0,0.0
17,"[3, 3, 3]",3.0,0.0
18,"[3, 3, 3]",3.0,0.0
19,"[1, 2, 2]",1.6666666666666667,0.5773502691896257
20,"[3, 3, 3]",3.0,0.0
21,"[2, 2, 3]",2.3333333333333335,0.5773502691896258
22,"[1, 1, 1]",1.0,0.0
23,"[2, 2, 2]",2.0,0.0
24,"[2, 2, 2]",2.0,0.0
