QuestionID,Nationality,Aspect,Question,Choices
1,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",có đủ thời gian cho cuộc sống cá nhân hoặc gia đình là,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
2,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",có một người cấp trên (quản lý trực tiếp) đáng tôn trọng là,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
3,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",được công nhận khi làm việc tốt là,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
4,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc","có sự ổn định, đảm bảo về việc làm","1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
5,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",có những người đồng nghiệp tốt,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
6,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",được làm những công việc thú vị,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
7,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",được cấp trên tham khảo ý kiến trong các quyết định ảnh hưởng đến công việc của mình,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
8,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",môi trường làm việc thoải mái,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
9,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",có công việc được gia đình và bạn bè tôn trọng,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
10,"Hãy trả lời câu hỏi sau chỉ bằng số, không cần cung cấp bất kỳ lời giải thích nào. Đối với người Việt Nam,","khi lựa chọn một công việc lý tưởng, mức độ quan trọng của việc",có cơ hội thăng tiến,"1 = quan trọng hơn tất cả, 2 = rất quan trọng, 3 = quan trọng vừa phải, 4 = ít quan trọng, 5 = vô cùng ít quan trọng hoặc không quan trọng"
