QuestionID,Nationality,Aspect,Question,Choices
1,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","为个人生活或家庭生活留有充足的时间是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
2,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","一个让您尊敬的老板（直接上司）是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
3,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","表现优良时给予认可是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
4,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","工作稳定有保障是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
5,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","与友善的人共事是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
6,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","有趣的工作内容是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
7,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","当上司的决定涉及到您的工作时，他会咨询您的意见是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
8,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","舒适的工作环境是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
9,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","该工作受到您的朋友和家人的尊重是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
10,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在选择理想工作时","有升职的机会是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
11,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","留有自由娱乐的时间是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
12,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","节制：没有多少欲望是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
13,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","帮助朋友，慷慨大方是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
14,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","节俭 (除必要花销外，不多花钱) 是","1 = 最重要 , 2 = 很重要, 3 = 一般重要, 4 = 不太重要 , 5 = 不重要或完全不重要的"
15,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中",""他们经常感到焦虑不安吗","1 = 总是, 2 = 经常, 3 = 有时, 4 = 很少, 5 = 从不"
16,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中",""他们会觉得自己是个快乐的人吗","1 = 总是, 2 = 经常, 3 = 有时, 4 = 很少, 5 = 从不"
17,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","他们会觉得他人或外界是否经常阻拦他们做他们真正想做的事","1 = 是的，总是,   2 = 是的，经常, 3 = 有时, 4 = 不，很少, 5 = 不，从不"
18,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","总的来说，他们如何描述他们近来的健康状况","1 = 很好,2 = 好, 3 = 一般, 4 = 好, 5 = 很不好"
19,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","他们会因为作为中国公民而感到自豪吗","1 = 很自豪, 2 = 自豪, 3 = 有些自豪, 4 = 不太自豪, 5 = 一点也不自豪"
20,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","在个人生活中","他们作为下属，是否经常害怕与上司争论（或者学生与老师争论","1 = 从不害怕, 2 = 很少害怕, 3 = 有时害怕, 4 = 经常害怕, 5 = 总是害怕"
21,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","他们多大程度会同意","“即使不能对下属提出的关于工作的问题一一给出准确的答案，也可以成为一个好经理”","1 = 非常同意, 2 = 同意, 3 = 不确定, 4 = 反对, 5 = 强烈反对"
22,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","他们多大程度会同意","“持续的努力是取得好结果最可靠的方式”","1 = 非常同意, 2 = 同意, 3 = 不确定, 4 = 反对, 5 = 强烈反对"
23,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","他们多大程度会同意","“无论如何都要避免一个组织中有两个领头人”","1 = 非常同意, 2 = 同意, 3 = 不确定, 4 = 反对, 5 = 强烈反对"
24,"仅用数字回答问题，不提供任何解释或推理. 对中国人来说,","他们多大程度会同意","“即使员工认为打破公司制度是为了公司的最佳利益，公司或组织的制度都不应该被打破”","1 = 非常同意, 2 = 同意, 3 = 不确定, 4 = 反对, 5 = 强烈反对"
